Achilles Screening Project ID,Stripped Cell line name,Culture Medium,Culture Type,Arxspan Reg ID,Virus Pool Name,
ASP1970,VMRCRCW-311Cas9,MEM + 10% FBS,Adherent,ACH-000484,ParalogV2,Sellers
ASP1982,HOP92,RPMI + 5% FBS,Mixed adherent and suspension,ACH-000825,Humagne,Achilles
ASP1971,KMRC3-311Cas9,DMEM + 10% FBS,Adherent,ACH-000313,ParalogV2,Sellers
ASP1972,NCIH2009-311Cas9,DMEM:F12 (1:1) + 5% FBS + 2mM L-glutamine + 5ug/ml Insulin + 0.01mg/ml Transferrin + 10nM Selenium + 10mM HEPES + 10nM Hydrocortisone + 10nM Beta estradiol,Adherent,ACH-000886,ParalogV2,Sellers
ASP1866,KMRC2-311Cas9,F12 + 10% FBS,Adherent,ACH-000709,ParalogV2,Sellers
ASP1973,HCC461-311Cas9,RPMI + 10% FBS,Adherent,ACH-000339,ParalogV2,Sellers
ASP1975,ONCODG1-311Cas9,RPMI + 10% FBS,Adherent,ACH-000013,ParalogV2,Sellers
ASP1944,NCIH747-311Cas9,RPMI + 10% FBS,Adherent,ACH-000403,ParalogV2,Sellers
ASP1945,COLO201-311Cas9,RPMI + 10% FBS,Mixed adherent and suspension,ACH-000253,ParalogV2,Sellers
ASP1938,UBLC1-311Cas9,DMEM:RPMI (1:3) + 10% FBS + 2mM Glutamine,Adherent,ACH-000741,ParalogV2,Sellers
ASP1981,NCIH2444,RPMI + 10% FBS,Adherent,ACH-000186,Humagne,Achilles
ASP1992,NCCIT,RPMI + 10% FBS,Adherent,ACH-001578,Humagne,Achilles
ASP1878,CHLA01RMED,DMEM:F12 + 20ng/mL EGF + 20ng/mLFGF + 2% B-27,Suspension,ACH-003067-01,Humagne,Achilles
ASP1924,TELOHAEC,VASCULIFE VEGF COMPLETE KIT,Adherent,ACH-003016,Humagne,Achilles
ASP1932,SW13,L15 + 10% FBS,Adherent,ACH-001401,Humagne,Achilles
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
