Achilles Screening Project ID,Stripped Cell line name,Culture Medium,Culture Type,Arxspan Reg ID,Virus Pool Name
ASP1912,CCSW1-311Cas9,RPMI + 10% FBS,Adherent,ACH-001960,ParalogV2
ASP1868,CAHPV10,K-SFM + 0.05mg/ml BPE + 5ng/ml EGF,Adherent,ACH-003057,Humagne
ASP1962,CORL26,RPMI + 10% FBS + 2mM L-glutamine,Suspension,ACH-001046,Humagne
ASP1910,ICC15-311Cas9,RPMI + 10% FBS,Adherent,ACH-001841,ParalogV2
ASP1913,ICC106-311Cas9,RPMI + 10% FBS,Adherent,ACH-001835,ParalogV2
ASP1836,LASCPC01,HITES + 1mL hydrocortisone + 5mL transferrin + 25ml FBS + 5ml L-glutamine,Mixed,ACH-003019-01,Humagne
ASP1959,DMS114,Waymouth's MB 752/1 + 10% FBS + 1mM Glutamine + 1.5g/l Sodium bicarbonate,Adherent,ACH-000530,Humagne
ASP1960,NCIH1876,DMEM:F12 (1:1) + 10% FBS + 5ml Insulin-Transferrin-Selenium,Adherent,ACH-000586,Humagne
ASP1961,DMS273,Waymouth's MB 752/1 + 10% heat inactivated FBS + 2mM Glutamine,,ACH-000749,Humagne
ASP1911,GB2-311Cas9,RPMI + 10% FBS,Adherent,ACH-001961,ParalogV2
ASP1946,CCLFPEDS0001T-311Cas9,RPMI + 10% FBS,Adherent,ACH-001163,ParalogV2
