Achilles Screening Project ID,Stripped Cell line name,Culture Medium,Culture Type,Arxspan Reg ID,Virus Pool Name
ASP1961,DMS273,Waymouth's MB 752/1 + 10% heat inactivated FBS + 2mM Glutamine,,ACH-000749,Humagne
ASP1983,MDAPCA2B,F12 + 20% FBS,Adherent,ACH-000952,Humagne
ASP1984,NCIH660,"RPMI1640 (HITES medium) + 5% FBS + 0.005 mg/ml Insulin, 0.01 mg/ml Transferrin, 30nM Sodium selenite (final conc.), 10 nM Hydrocortisone (final conc.), 10 nM beta-estradiol (final conc.), extra 2mM L-glutamine (for final conc. of 4 mM)",Mixed adherent and suspension,ACH-000177-03,Humagne
ASP1979,RERFLCKJ,RPMI + 10% heat inactivated FBS,Adherent,ACH-000482,Humagne
ASP1982,HOP92,RPMI + 5% FBS,Mixed adherent and suspension,ACH-000825,Humagne
ASP1977,HCC4006,RPMI + 10% FBS,Adherent,ACH-000066,Humagne
ASP1978,NCIH2085,RPMI + 5% FBS,Adherent,ACH-000451,Humagne
ASP1937,SKRC20-311Cas9,RPMI + 10% FBS + 0.1mM NEAA,Adherent,ACH-000385,ParalogV2
ASP1966,NCIH1915-311Cas9,RPMI + 10% FBS,Adherent,ACH-000434,ParalogV2
ASP1965,NCIH1373-311Cas9,RPMI + 10% FBS,Adherent,ACH-000845,ParalogV2
