Achilles Screening Project ID,Stripped Cell line name,Culture Medium,Culture Type,Arxspan Reg ID,Virus Pool Name
ASP1856,HCC827,RPMI + 10% FBS,Adherent,ACH-000012,Paralog
ASP1857,NCIH1666,ACL4,Mixed adherent and suspension,ACH-000448,Paralog
ASP1858,RERFLCAI,MEM + 10% FBS,Adherent,ACH-000261,Paralog
ASP1860,JIMT1,RPMI + 10% FBS,Adherent,ACH-000711,Paralog
ASP1861,HCC1806,RPMI + 10% FBS,Adherent,ACH-000624,Paralog
ASP1862,MFM223,MEM + 15% FBS + 2mM L-glutamine + 1x Insulin-Transferrin-Selenium,Adherent,ACH-001819,Paralog
ASP1863,MDAMB453,RPMI + 10% FBS,Adherent,ACH-000910,Paralog
ASP1865,SLR23,RPMI + 10% FBS + Kanamycin,Adherent,ACH-000246,Paralog
ASP1866,KMRC2,F12 + 10% FBS,Adherent,ACH-000709,Paralog
ASP1867,SKRC31,RPMI + 10% FBS + 0.1mM NEAA,Adherent,ACH-001194,Paralog
ASP1833,Hs769T,DMEM + 10% FBS,Mixed,ACH-002484,Humagne
ASP1837,MM100511,RPMI + 10% FBS,Adherent,ACH-002928-01,Humagne
ASP1849,UKE1,RPMI + 2mM L-glutamine +20% FBS,Suspension,ACH-002946-01,Humagne
ASP1278,JVE207,RPMI 1640 + 20% FBS,Adherent,ACH-002662,Humagne
